Region,State,No. of Companies - Public,Authorized Capital - Public (In Crores),No. of Companies - Private,Authorized Capital - Private (In Crores),No. of Companies - Total,Authorized Capital - Total (In Crores)
NORTHERN REGION,Haryana,581,393.27,12841,1241.44,13422,1634.71
NORTHERN REGION,Himachal Pradesh,188,100.67,2653,197.12,2841,297.79
NORTHERN REGION,Jammu & Kashmir,167,87.26,2348,371.34,2515,458.6
NORTHERN REGION,Punjab,1434,823.34,13433,1836.81,14867,2660.15
NORTHERN REGION,Rajasthan,1304,1716.71,21432,1372.54,22736,3089.25
NORTHERN REGION,Uttar Pradesh,4271,1202.03,31222,2584.96,35493,3786.99
NORTHERN REGION,Uttrakhand,152,47.69,1996,219.03,2148,266.72
NORTHERN REGION,Chandigarh,902,628.39,6638,643.91,7540,1272.3
NORTHERN REGION,Delhi,7715,9872.55,121484,19270.98,129199,29143.53
NORTHERN REGION,Total,16714,14871.91,214047,27738.13,230761,42610.04
EASTERN REGION,Arunachal Pradesh,9,5.2,293,64.2,302,69.4
EASTERN REGION,Assam,284,168,3254,542.5,3538,710.5
EASTERN REGION,Bihar,875,198.14,8012,791.61,8887,989.75
EASTERN REGION,Jharkhand,319,140.35,3300,397.88,3619,538.23
EASTERN REGION,Manipur,41,44.95,169,40.83,210,85.78
EASTERN REGION,Meghalaya,48,31.82,380,113.98,428,145.8
EASTERN REGION,Mizoram,8,29.6,57,7.25,65,36.85
EASTERN REGION,Nagaland,10,14.95,310,58.01,320,72.96
EASTERN REGION,Odisha,1028,806.09,9002,1038.04,10030,1844.13
EASTERN REGION,Tripura,11,9,139,30.35,150,39.35
EASTERN REGION,West Bengal,8051,7669.89,55228,12604.88,63279,20274.77
EASTERN REGION,Total,10684,9117.99,80144,15689.53,90828,24807.52
WESTERN REGION,Chhatisgarh,173,52.57,2853,357.65,3026,410.22
WESTERN REGION,Gujarat,1949,2676.95,32159,8399.92,34108,11076.87
WESTERN REGION,Madhya Pradesh,1346,811,14721,1181.33,16067,1992.33
WESTERN REGION,Maharashtra,6525,10733.88,126684,19739.93,133209,30473.81
WESTERN REGION,Dadar & N. Haveli,14,14.05,116,15.14,130,29.19
WESTERN REGION,Daman & Diu,14,16.25,68,45.34,82,61.59
WESTERN REGION,Goa,73,74.6,3594,726.12,3667,800.72
WESTERN REGION,Total,10094,14379.3,180195,30465.43,190289,44844.73
SOUTHERN REGION,A & N Islands,4,8.07,119,10.9,123,18.97
SOUTHERN REGION,Andhra Pradesh,577,462.12,10100,1593.63,10677,2055.75
SOUTHERN REGION,Karnataka,2180,1776.76,41864,6980.28,44044,8757.04
SOUTHERN REGION,Kerala,986,764.42,19071,1948.47,20057,2712.89
SOUTHERN REGION,Tamil Nadu,5005,3972.3,60061,8860.6,65066,12832.9
SOUTHERN REGION,Lakshadweep,0,0,7,0.2,7,0.2
SOUTHERN REGION,Puducherry,171,80.66,1729,172.54,1900,253.2
SOUTHERN REGION,Total,8923,7064.33,132951,19566.62,141874,26630.95
Grand Total,Grand Total,46415,45433.53,607337,93459.71,653752,138893.24
